,area,id,region,title,lat,lot,full_adress,population_2010,man_2010,female_2010
0,Каа-Хемский район,1157087,Тыва ,Авыйган,"51,3204989","95,5926481","Авыйган, Усть-Буренский сумон, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
1,Тоджинский район,1157181,Тыва ,Адыр-Кежиг,"52,4497728","96,241468","Адыр-Кежиг, Тоджинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
2,Сут-Хольский район,1157148,Тыва ,Ак-Даш,"51,3410954","91,1281674","Ак-Даш, Сут-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",563,254,309
3,город,9863,Тыва ,Ак-Довурак,"51,174081","90,5999914","Ак-Довурак, городской округ Ак-Довурак, Республика Тыва, Сибирский федеральный округ, Россия",13468,6199,7269
4,Чаа-Хольский район,1157200,Тыва ,Ак-Дуруг,"51,3995087","92,2074823","Ак-Дуруг, Чаа-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1408,697,711
5,Чеди-Хольский район,1157206,Тыва ,Ак-Тал,"51,1743221","93,4071913","Ак-Тал, Чеди-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
6,Тес-Хемский район,1157173,Тыва ,Ак-Эрик,"50,5142008","94,6152832","Ак-Эрик, Тес-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
7,Барун-Хемчикский район,1157063,Тыва ,Аксы-Барлык,"51,1175678","90,4021823","Аксы-Барлык, Барун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",934,457,477
8,Сут-Хольский район,1157149,Тыва ,Алдан-Маадыр,"51,2965803","90,9751627","Алдан-Маадыр, Сут-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1109,555,554
9,Пий-Хемский район,1157131,Тыва ,Аржаан,"52,0592442","93,6053528","Аржаан, Пий-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",835,417,418
10,Улуг-Хемский район,1157189,Тыва ,Арыг-Бажи,,,,,,
11,Улуг-Хемский район,1157190,Тыва ,Арыг-Узуу,"51,4225518","92,5956837","Арыг-Узуу, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1421,706,715
12,Улуг-Хемский район,1157191,Тыва ,Арыскан,"51,406536","92,7097671","Арыскан, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",630,316,314
13,Барун-Хемчикский район,1157064,Тыва ,Аянгаты,"50,9934854","90,8429369","Аянгаты, Барун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",540,271,269
14,Дзун-Хемчикский район,1157073,Тыва ,Бажын-Алаак,"51,2293018","91,7340114","Бажын-Алаак, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
15,Эрзинский район,12208,Тыва ,Бай-Даг,"50,3013082","95,1019495","Бай-Даг, Эрзинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1266,600,666
